userID,game,action,hours_played,genre,metascore,user_score,score
151603712,Fallout 4,purchase,1.0,General,84,55,-215.5
151603712,Fallout 4,play,87.0,General,84,55,-215.5
87445402,Fallout 4,purchase,1.0,General,84,55,-215.5
87445402,Fallout 4,play,83.0,General,84,55,-215.5
25096601,Fallout 4,purchase,1.0,General,84,55,-215.5
25096601,Fallout 4,play,1.6,General,84,55,-215.5
211925330,Fallout 4,purchase,1.0,General,84,55,-215.5
211925330,Fallout 4,play,133.0,General,84,55,-215.5
115396529,Fallout 4,purchase,1.0,General,84,55,-215.5
115396529,Fallout 4,play,17.9,General,84,55,-215.5
4834220,Fallout 4,purchase,1.0,General,84,55,-215.5
4834220,Fallout 4,play,19.8,General,84,55,-215.5
65229865,Fallout 4,purchase,1.0,General,84,55,-215.5
65229865,Fallout 4,play,0.5,General,84,55,-215.5
65958466,Fallout 4,purchase,1.0,General,84,55,-215.5
65958466,Fallout 4,play,123.0,General,84,55,-215.5
91800733,Fallout 4,purchase,1.0,General,84,55,-215.5
91800733,Fallout 4,play,63.0,General,84,55,-215.5
43913966,Fallout 4,purchase,1.0,General,84,55,-215.5
43913966,Fallout 4,play,65.0,General,84,55,-215.5
64787956,Fallout 4,purchase,1.0,General,84,55,-215.5
64787956,Fallout 4,play,42.0,General,84,55,-215.5
68316900,Fallout 4,purchase,1.0,General,84,55,-215.5
68316900,Fallout 4,play,29.0,General,84,55,-215.5
48028873,Fallout 4,purchase,1.0,General,84,55,-215.5
48028873,Fallout 4,play,48.0,General,84,55,-215.5
131940023,Fallout 4,purchase,1.0,General,84,55,-215.5
131940023,Fallout 4,play,81.0,General,84,55,-215.5
89732768,Fallout 4,purchase,1.0,General,84,55,-215.5
89732768,Fallout 4,play,44.0,General,84,55,-215.5
115037563,Fallout 4,purchase,1.0,General,84,55,-215.5
115037563,Fallout 4,play,14.6,General,84,55,-215.5
13565651,Fallout 4,purchase,1.0,General,84,55,-215.5
13565651,Fallout 4,play,29.0,General,84,55,-215.5
65420540,Fallout 4,purchase,1.0,General,84,55,-215.5
65420540,Fallout 4,play,5.2,General,84,55,-215.5
101690993,Fallout 4,purchase,1.0,General,84,55,-215.5
101690993,Fallout 4,play,74.0,General,84,55,-215.5
53898495,Fallout 4,purchase,1.0,General,84,55,-215.5
53898495,Fallout 4,play,15.4,General,84,55,-215.5
77830706,Fallout 4,purchase,1.0,General,84,55,-215.5
77830706,Fallout 4,play,3.0,General,84,55,-215.5
76420334,Fallout 4,purchase,1.0,General,84,55,-215.5
76420334,Fallout 4,play,61.0,General,84,55,-215.5
45974860,Fallout 4,purchase,1.0,General,84,55,-215.5
45974860,Fallout 4,play,35.0,General,84,55,-215.5
39082468,Fallout 4,purchase,1.0,General,84,55,-215.5
39082468,Fallout 4,play,36.0,General,84,55,-215.5
24469287,Fallout 4,purchase,1.0,General,84,55,-215.5
24469287,Fallout 4,play,119.0,General,84,55,-215.5
39622853,Fallout 4,purchase,1.0,General,84,55,-215.5
39622853,Fallout 4,play,40.0,General,84,55,-215.5
111754806,Fallout 4,purchase,1.0,General,84,55,-215.5
111754806,Fallout 4,play,63.0,General,84,55,-215.5
99077905,Fallout 4,purchase,1.0,General,84,55,-215.5
99077905,Fallout 4,play,428.0,General,84,55,-215.5
9128105,Fallout 4,purchase,1.0,General,84,55,-215.5
9128105,Fallout 4,play,21.0,General,84,55,-215.5
12259303,Fallout 4,purchase,1.0,General,84,55,-215.5
12259303,Fallout 4,play,127.0,General,84,55,-215.5
77124916,Fallout 4,purchase,1.0,General,84,55,-215.5
77124916,Fallout 4,play,361.0,General,84,55,-215.5
2259650,Fallout 4,purchase,1.0,General,84,55,-215.5
2259650,Fallout 4,play,116.0,General,84,55,-215.5
59115473,Fallout 4,purchase,1.0,General,84,55,-215.5
59115473,Fallout 4,play,30.0,General,84,55,-215.5
233424343,Fallout 4,purchase,1.0,General,84,55,-215.5
233424343,Fallout 4,play,97.0,General,84,55,-215.5
71390526,Fallout 4,purchase,1.0,General,84,55,-215.5
71390526,Fallout 4,play,102.0,General,84,55,-215.5
234190577,Fallout 4,purchase,1.0,General,84,55,-215.5
234190577,Fallout 4,play,59.0,General,84,55,-215.5
98624963,Fallout 4,purchase,1.0,General,84,55,-215.5
98624963,Fallout 4,play,79.0,General,84,55,-215.5
183337134,Fallout 4,purchase,1.0,General,84,55,-215.5
183337134,Fallout 4,play,183.0,General,84,55,-215.5
110906645,Fallout 4,purchase,1.0,General,84,55,-215.5
110906645,Fallout 4,play,7.6,General,84,55,-215.5
298950,Fallout 4,purchase,1.0,General,84,55,-215.5
298950,Fallout 4,play,82.0,General,84,55,-215.5
62878249,Fallout 4,purchase,1.0,General,84,55,-215.5
62878249,Fallout 4,play,111.0,General,84,55,-215.5
50801801,Fallout 4,purchase,1.0,General,84,55,-215.5
50801801,Fallout 4,play,3.2,General,84,55,-215.5
173940259,Fallout 4,purchase,1.0,General,84,55,-215.5
173940259,Fallout 4,play,39.0,General,84,55,-215.5
212570211,Fallout 4,purchase,1.0,General,84,55,-215.5
212570211,Fallout 4,play,4.0,General,84,55,-215.5
54293428,Fallout 4,purchase,1.0,General,84,55,-215.5
54293428,Fallout 4,play,0.2,General,84,55,-215.5
100351493,Fallout 4,purchase,1.0,General,84,55,-215.5
100351493,Fallout 4,play,35.0,General,84,55,-215.5
73518199,Fallout 4,purchase,1.0,General,84,55,-215.5
73518199,Fallout 4,play,94.0,General,84,55,-215.5
100311267,Fallout 4,purchase,1.0,General,84,55,-215.5
100311267,Fallout 4,play,12.0,General,84,55,-215.5
301299641,Fallout 4,purchase,1.0,General,84,55,-215.5
301299641,Fallout 4,play,14.2,General,84,55,-215.5
46637811,Fallout 4,purchase,1.0,General,84,55,-215.5
46637811,Fallout 4,play,94.0,General,84,55,-215.5
171067153,Fallout 4,purchase,1.0,General,84,55,-215.5
171067153,Fallout 4,play,72.0,General,84,55,-215.5
170460109,Fallout 4,purchase,1.0,General,84,55,-215.5
170460109,Fallout 4,play,42.0,General,84,55,-215.5
60859324,Fallout 4,purchase,1.0,General,84,55,-215.5
60859324,Fallout 4,play,71.0,General,84,55,-215.5
108223505,Fallout 4,purchase,1.0,General,84,55,-215.5
108223505,Fallout 4,play,0.3,General,84,55,-215.5
33282871,Fallout 4,purchase,1.0,General,84,55,-215.5
33282871,Fallout 4,play,6.5,General,84,55,-215.5
49893565,Fallout 4,purchase,1.0,General,84,55,-215.5
49893565,Fallout 4,play,73.0,General,84,55,-215.5
27262175,Fallout 4,purchase,1.0,General,84,55,-215.5
27262175,Fallout 4,play,2.1,General,84,55,-215.5
66464409,Fallout 4,purchase,1.0,General,84,55,-215.5
66464409,Fallout 4,play,38.0,General,84,55,-215.5
43684632,Fallout 4,purchase,1.0,General,84,55,-215.5
43684632,Fallout 4,play,27.0,General,84,55,-215.5
94269421,Fallout 4,purchase,1.0,General,84,55,-215.5
94269421,Fallout 4,play,10.1,General,84,55,-215.5
167302978,Fallout 4,purchase,1.0,General,84,55,-215.5
167302978,Fallout 4,play,12.3,General,84,55,-215.5
86055705,Fallout 4,purchase,1.0,General,84,55,-215.5
86055705,Fallout 4,play,58.0,General,84,55,-215.5
66255019,Fallout 4,purchase,1.0,General,84,55,-215.5
66255019,Fallout 4,play,65.0,General,84,55,-215.5
39037163,Fallout 4,purchase,1.0,General,84,55,-215.5
39037163,Fallout 4,play,94.0,General,84,55,-215.5
108007732,Fallout 4,purchase,1.0,General,84,55,-215.5
108007732,Fallout 4,play,26.0,General,84,55,-215.5
70408902,Fallout 4,purchase,1.0,General,84,55,-215.5
70408902,Fallout 4,play,18.7,General,84,55,-215.5
191126693,Fallout 4,purchase,1.0,General,84,55,-215.5
191126693,Fallout 4,play,73.0,General,84,55,-215.5
30699429,Fallout 4,purchase,1.0,General,84,55,-215.5
30699429,Fallout 4,play,24.0,General,84,55,-215.5
24721232,Fallout 4,purchase,1.0,General,84,55,-215.5
24721232,Fallout 4,play,74.0,General,84,55,-215.5
51085779,Fallout 4,purchase,1.0,General,84,55,-215.5
51085779,Fallout 4,play,71.0,General,84,55,-215.5
49462664,Fallout 4,purchase,1.0,General,84,55,-215.5
49462664,Fallout 4,play,46.0,General,84,55,-215.5
96588736,Fallout 4,purchase,1.0,General,84,55,-215.5
96588736,Fallout 4,play,51.0,General,84,55,-215.5
86469479,Fallout 4,purchase,1.0,General,84,55,-215.5
86469479,Fallout 4,play,22.0,General,84,55,-215.5
15196746,Fallout 4,purchase,1.0,General,84,55,-215.5
15196746,Fallout 4,play,108.0,General,84,55,-215.5
58435428,Fallout 4,purchase,1.0,General,84,55,-215.5
58435428,Fallout 4,play,34.0,General,84,55,-215.5
43446880,Fallout 4,purchase,1.0,General,84,55,-215.5
43446880,Fallout 4,play,249.0,General,84,55,-215.5
34919318,Fallout 4,purchase,1.0,General,84,55,-215.5
34919318,Fallout 4,play,8.2,General,84,55,-215.5
99264709,Fallout 4,purchase,1.0,General,84,55,-215.5
99264709,Fallout 4,play,41.0,General,84,55,-215.5
88035166,Fallout 4,purchase,1.0,General,84,55,-215.5
88035166,Fallout 4,play,105.0,General,84,55,-215.5
11161178,Fallout 4,purchase,1.0,General,84,55,-215.5
11161178,Fallout 4,play,123.0,General,84,55,-215.5
73305545,Fallout 4,purchase,1.0,General,84,55,-215.5
73305545,Fallout 4,play,2.1,General,84,55,-215.5
23225650,Fallout 4,purchase,1.0,General,84,55,-215.5
23225650,Fallout 4,play,10.6,General,84,55,-215.5
80363319,Fallout 4,purchase,1.0,General,84,55,-215.5
80363319,Fallout 4,play,28.0,General,84,55,-215.5
108750879,Fallout 4,purchase,1.0,General,84,55,-215.5
108750879,Fallout 4,play,77.0,General,84,55,-215.5
57603447,Fallout 4,purchase,1.0,General,84,55,-215.5
57603447,Fallout 4,play,120.0,General,84,55,-215.5
27403206,Fallout 4,purchase,1.0,General,84,55,-215.5
